Stage,Subgroup size (n),Subgroup,Average,Range
Initial,4,1,"4,430.00","1,070"
Initial,4,2,"4,372.50",200
Initial,4,3,"3,827.50",335
Initial,4,4,"3,912.00","1,900"
Initial,4,5,"5,071.30",815
Initial,4,6,"4,682.50",245
Initial,4,7,"4,557.50","1,125"
Initial,4,8,"4,725.00",255
Initial,4,9,"4,733.80",245
Initial,4,10,"4,372.50",680
Initial,4,11,"4,943.80","1,410"
Initial,4,12,"4,722.50",745
Initial,4,13,"4,278.80",800
Initial,4,14,"4,242.50",205
Initial,4,15,"4,007.50","1,695"
Initial,4,16,"4,006.30","1,455"
Initial,4,17,"4,606.30",910
Initial,4,18,"4,647.50",665
Initial,4,19,"4,441.30",785
Initial,4,20,"4,566.30",520
Initial,4,21,"4,548.80",605
Initial,4,22,"3,846.30",445
Initial,4,23,"4,572.50","1,000"
Initial,4,24,"4,470.00",390
Initial,4,25,"4,676.30",570
Initial,4,26,"4,710.00",280
Initial,4,27,"4,366.30",730
Initial,4,28,"4,222.50",700
Initial,4,29,"4,367.50",635
Initial,4,30,"4,495.00",390
Initial,4,31,"3,550.00","1,115"
Initial,4,32,"4,498.80",540
Initial,4,33,"4,476.30",655
Initial,4,34,"4,528.80",725
Initial,4,35,"4,550.00",400
Initial,4,36,"3,701.30",265
Initial,4,37,"4,030.00",675
Initial,4,38,"4,781.30",500
Initial,4,39,"4,797.50",650
Initial,4,40,"4,887.50",300
Initial,4,41,"4,760.00",500
Initial,4,42,"4,853.80",505
Initial,4,43,"4,925.00",300
Initial,4,44,"5,041.30",335
Initial,4,45,"4,835.00","1,385"
Initial,4,46,"4,555.00",340
Initial,4,47,"4,566.30",265
Initial,4,48,"4,842.50",230
Initial,4,49,"4,343.80",490
Initial,4,50,"4,361.30","1,360"
Initial,4,51,"5,100.00",250
Additional,4,1,"4,446.30",240
Additional,4,2,"4,383.80",310
Additional,4,3,"4,251.30",500
Additional,4,4,"4,490.00",650
Additional,4,5,"4,425.00",340
Additional,4,6,"4,640.00",390
Additional,4,7,"4,280.00",500
Additional,4,8,"4,430.00",370
Additional,4,9,"4,240.00",200
Additional,4,10,"4,486.30",420
Additional,4,11,"4,430.00",250
Additional,4,12,"4,377.50",380
Additional,4,13,"4,313.80",130
Additional,4,14,"4,350.00",250
Additional,4,15,"4,576.30",250
Additional,4,16,"4,550.00",640